ID;name;height_cm;weight_kg;overall;potential;pac;sho;pas;dri;def;phy;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;free_kick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;marking;standing_tackle;sliding_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes
20801;Cristiano Ronaldo;185;80;94;94;90;93;82;90;33;80;85;94;88;83;88;91;81;76;77;93;89;91;89;96;63;94;95;92;80;92;63;29;95;85;85;95;22;31;23;7;11;15;14;11
158023;L. Messi;170;72;93;93;89;90;86;96;26;61;77;95;71;88;85;97;89;90;87;95;92;87;90;95;95;85;68;73;59;88;48;22;93;90;78;96;13;28;26;6;11;15;14;8
190871;Neymar;175;68;92;94;92;84;79;95;30;60;75;89;62;81;83;96;81;84;75;95;94;90;96;88;82;80;61;78;53;77;56;36;90;80;81;92;21;24;33;9;9;15;15;11
176580;L. Suárez;182;86;92;92;82;90;79;87;42;81;77;94;77;83;88;86;86;84;64;91;88;77;86;93;60;87;69;89;80;86;78;41;92;84;85;83;30;45;38;27;25;31;33;37
167495;M. Neuer;193;92;92;92;91;90;95;89;60;91;15;13;25;55;11;30;14;11;59;48;58;61;52;85;35;25;78;44;83;16;29;30;12;70;47;70;10;10;11;91;90;95;91;89
188545;R. Lewandowski;185;79;91;91;81;88;75;86;38;82;62;91;85;83;87;85;77;84;65;89;79;83;78;91;80;88;84;79;84;83;80;39;91;78;84;87;25;42;19;15;6;12;8;10
193080;De Gea;193;76;90;92;90;85;87;90;58;86;17;13;21;50;13;18;21;19;51;42;57;58;60;88;43;31;67;40;64;12;38;30;12;68;40;64;13;21;13;90;85;87;86;90
183277;E. Hazard;173;76;90;91;90;82;84;92;32;66;80;83;57;86;79;93;82;79;81;92;93;87;93;85;91;79;59;79;65;82;54;41;85;86;86;87;25;27;22;11;12;6;8;8
182521;T. Kroos;182;78;90;90;56;81;89;81;73;70;85;76;54;90;82;79;85;84;93;89;60;52;71;86;69;87;32;77;74;90;60;85;79;88;73;85;63;82;69;10;11;13;7;10
167664;G. Higuaín;184;87;90;90;79;87;70;83;25;74;68;91;86;75;88;84;74;62;59;85;78;80;75;88;69;88;79;72;85;82;50;20;92;70;70;86;12;22;18;5;12;7;5;10
155862;Sergio Ramos;183;75;90;90;76;63;71;71;88;83;66;60;91;78;66;61;73;67;72;84;75;77;79;85;60;79;93;84;81;55;84;88;52;63;68;80;86;89;91;11;8;9;7;11
192985;K. De Bruyne;181;68;89;92;75;84;88;85;45;75;90;83;53;90;82;85;83;83;84;87;76;75;80;88;75;85;65;87;73;86;68;56;84;90;77;84;30;51;40;15;13;5;10;13
192119;T. Courtois;199;94;89;92;85;91;69;88;49;86;14;14;13;32;12;13;19;11;31;23;46;52;61;81;45;36;68;38;70;17;23;15;13;44;27;52;11;18;16;85;91;69;86;88
184941;A. Sánchez;169;62;89;89;86;84;80;89;40;78;80;85;70;81;83;90;78;78;73;87;88;84;90;87;87;84;85;85;72;82;80;42;86;83;77;86;30;39;35;10;10;15;12;13
177003;L. Modrić;174;65;89;89;73;75;86;89;72;65;78;71;55;92;74;86;79;77;83;92;75;71;93;88;94;73;67;82;58;82;62;76;79;90;80;84;66;80;73;13;9;7;14;9
